WISE Name,Catalog,GLong,GLat,RA,Dec,Radius,HII Region,Membership,VLSR,VLSR (Mol.),Molecule,KDAR,Dist.,Err Dist.,Dist. Method,RGal,z
G000.003+00.127,K,0.004,0.128,266.283,-28.867,206,S17,,-5.5,,,,,,,,
G000.008+00.036,Q,0.009,0.036,266.375,-28.910,24,,,,,,,,,,,
G000.025-00.232,Q,0.026,-0.231,266.646,-29.034,46,,,,,,,,,,,
G000.029-00.090,Q,0.030,-0.089,266.510,-28.957,31,,,,,,,,,,,
G000.041+00.021,Q,0.041,0.021,266.409,-28.890,20,,,,,,,,,,,
G000.043+00.013,Q,0.044,0.014,266.418,-28.891,15,,,,,,,,,,,
G000.052-00.205,Q,0.053,-0.205,266.636,-28.997,18,,,,,,,,,,,
G000.079-00.211,Q,0.080,-0.210,266.657,-28.977,66,,,,,,,,,,,
G000.079-00.626,Q,0.080,-0.625,267.064,-29.192,92,,,,,,,,,,,
G000.082-00.097,Q,0.083,-0.096,266.548,-28.916,29,,,,,,,,,,,
G000.099-00.168,C,0.099,-0.168,266.628,-28.939,15,,,,16.0,CS,,,,,,
G000.114-00.092,Q,0.115,-0.091,266.562,-28.886,22,,,,,,,,,,,
G000.120-00.556,K,0.120,-0.556,267.020,-29.122,360,S19,,11.6,,,,,,,,
G000.120-00.633,Q,0.121,-0.632,267.095,-29.161,93,,,,,,,,,,,
G000.121-00.304,Q,0.122,-0.304,266.774,-28.990,37,,,,,,,,,,,
G000.125-00.086,Q,0.126,-0.086,266.564,-28.873,29,,,,,,,,,,,
G000.129-00.674,Q,0.129,-0.673,267.140,-29.174,51,,,,,,,,,,,
G000.132+00.039,Q,0.132,0.040,266.445,-28.803,299,,,,,,,,,,,
G000.138-00.115,Q,0.139,-0.114,266.599,-28.877,363,,,,,,,,,,,
G000.158-00.065,C,0.159,-0.065,266.563,-28.834,34,,,,,,,,,,,
G000.170+00.153,C,0.170,0.153,266.357,-28.711,42,,,,,,,,,,,
G000.176-00.062,Q,0.177,-0.062,266.570,-28.817,95,,,,,,,,,,,
G000.197-00.007,Q,0.197,-0.006,266.529,-28.771,24,,,,,,,,,,,
G000.199-00.512,Q,0.200,-0.512,267.024,-29.031,17,,,,,,,,,,,
G000.208-00.002,C,0.209,-0.002,266.531,-28.759,26,,,,,,,,,,,
G000.227-00.502,Q,0.228,-0.502,267.031,-29.002,72,,,,,,,,,,,
G000.279-00.059,Q,0.279,-0.058,266.627,-28.728,191,,,,,,,,,,,
G000.279-00.482,K,0.279,-0.482,267.041,-28.948,60,G000.284-00.478,,20.0,18.5,CS,,,,,,
G000.298-01.051,Q,0.298,-1.050,267.610,-29.223,230,,,,,,,,,,,
G000.314-00.194,K,0.314,-0.194,266.780,-28.768,26,S20,,9.6,18.7,CS,,,,,,
G000.314-00.205,K,0.315,-0.204,266.791,-28.773,42,S20,,9.6,18.7,CS,,,,,,
G000.316-00.149,Q,0.316,-0.149,266.738,-28.743,37,,,,,,,,,,,
G000.319-00.119,Q,0.319,-0.119,266.711,-28.725,27,,,,,,,,,,,
G000.328-00.804,K,0.329,-0.803,267.385,-29.070,234,G000.361-00.780,G000.361-00.780,20.0,,,,,,,,
G000.331-00.065,Q,0.331,-0.064,266.664,-28.687,42,,,,,,,,,,,
G000.335-00.016,C,0.335,-0.015,266.619,-28.658,42,,,,,,,,,,,
G000.346-00.028,C,0.347,-0.027,266.637,-28.654,27,,,,,,,,,,,
G000.352-00.020,Q,0.353,-0.019,266.633,-28.645,29,,,,,,,,,,,
G000.360-00.141,Q,0.361,-0.140,266.756,-28.701,20,,,,,,,,,,,
G000.382+00.017,K,0.382,0.017,266.615,-28.601,67,G000.382+00.017,,25.7;41.4,84.4,CS,,,,,,
G000.394-00.132,Q,0.395,-0.131,266.767,-28.667,28,,,,,,,,,,,
G000.397-00.091,Q,0.398,-0.091,266.730,-28.644,22,,,,,,,,,,,
G000.401+00.408,Q,0.402,0.409,266.246,-28.380,20,,,,,,,,,,,
G000.408-00.881,Q,0.408,-0.881,267.508,-29.042,139,,,,,,,,,,,
G000.410-00.778,Q,0.410,-0.778,267.408,-28.988,137,,G000.361-00.780,,,,,,,,,
G000.411-00.060,Q,0.411,-0.059,266.707,-28.616,17,,,,,,,,,,,
G000.414-00.021,Q,0.415,-0.021,266.671,-28.593,38,,,,,,,,,,,
G000.418-00.081,Q,0.418,-0.081,266.732,-28.621,22,,,,,,,,,,,
G000.421-00.555,G,0.421,-0.554,267.196,-28.863,72,,G000.394-00.540,,,,,,,,,
G000.436-00.084,Q,0.437,-0.084,266.746,-28.607,41,,,,,,,,,,,
G000.452-00.904,Q,0.453,-0.903,267.556,-29.015,51,,,,,,,,,,,
G000.455-00.476,K,0.456,-0.475,267.139,-28.793,677,G000.394-00.540,G000.394-00.540,24.0,,,,,,,,
G000.456-00.808,Q,0.456,-0.808,267.465,-28.963,149,,,,,,,,,,,
G000.460-00.048,Q,0.461,-0.048,266.725,-28.567,21,,,,,,,,,,,
G000.471-00.055,Q,0.472,-0.055,266.738,-28.562,43,,,,,,,,,,,
G000.475-00.675,K,0.476,-0.674,267.345,-28.878,54,G000.489-00.668,,17.5,,,,,,,,
G000.477-00.130,Q,0.477,-0.130,266.814,-28.596,111,,,,,,,,,,,
G000.479+00.072,Q,0.480,0.072,266.619,-28.489,42,,,,,,,,,,,
G000.484-00.900,Q,0.484,-0.899,267.571,-28.986,27,,,,,,,,,,,
G000.486+00.201,Q,0.487,0.201,266.498,-28.416,12,,,,,,,,,,,
G000.490-00.074,G,0.490,-0.074,266.767,-28.556,42,,G000.510-00.051,,,,,,,,,
G000.492+00.191,C,0.492,0.192,266.511,-28.416,42,,,,,,,,,,,
G000.496-00.828,Q,0.497,-0.827,267.507,-28.938,16,,,,,,,,,,,
G000.497+00.159,C,0.497,0.159,266.545,-28.429,60,,,,,,,,,,,
G000.498-00.678,K,0.498,-0.678,267.362,-28.861,54,G000.489-00.668,,17.5,,,,,,,,
G000.501+00.190,Q,0.501,0.191,266.517,-28.409,12,,,,,,,,,,,
G000.504-00.789,Q,0.504,-0.789,267.474,-28.913,35,,,,,,,,,,,
G000.519+00.177,Q,0.519,0.177,266.541,-28.401,8,,,,-3.8,CS,,,,,,
G000.519-00.051,K,0.520,-0.051,266.763,-28.518,208,G000.510-00.051,G000.510-00.051,45.0,,,,,,,,
G000.520+00.195,Q,0.521,0.196,266.524,-28.390,16,,,,-3.8,CS,,,,,,
G000.522-00.011,Q,0.523,-0.011,266.725,-28.495,27,,,,,,,,,,,
G000.523+00.168,Q,0.524,0.169,266.551,-28.401,9,,,,-3.8,CS,,,,,,
G000.525+00.190,Q,0.525,0.191,266.531,-28.388,9,,,,-3.8,CS,,,,,,
G000.528+00.180,K,0.528,0.181,266.542,-28.391,25,G000.521+00.178,G000.521+00.178,-2.3,-3.8,CS,,,,,,
G000.529-00.107,Q,0.530,-0.106,266.822,-28.539,27,,,,,,,,,,,
G000.530+00.131,Q,0.530,0.132,266.591,-28.415,50,,,,,,,,,,,
G000.530-00.156,Q,0.530,-0.156,266.871,-28.564,29,,,,,,,,,,,
G000.533-00.082,G,0.533,-0.082,266.801,-28.523,66,,G000.510-00.051,,,,,,,,,
G000.534+00.168,G,0.535,0.169,266.558,-28.392,31,,G000.521+00.178,,-3.8,CS,,,,,,
G000.541-00.046,Q,0.541,-0.046,266.770,-28.497,20,,,,,,,,,,,
G000.544-00.227,Q,0.544,-0.226,266.948,-28.588,128,,,,,,,,,,,
G000.547-00.060,Q,0.547,-0.060,266.787,-28.500,20,,,,,,,,,,,
G000.548-00.852,G,0.548,-0.851,267.561,-28.907,28,,G000.561-00.850,,,,,,,,,
G000.548-00.836,G,0.549,-0.835,267.546,-28.898,41,,G000.561-00.850,,,,,,,,,
G000.551+00.060,Q,0.551,0.060,266.673,-28.434,90,,,,,,,,,,,
G000.557-00.079,Q,0.557,-0.079,266.812,-28.501,20,,,,,,,,,,,
G000.563-00.852,G,0.563,-0.852,267.571,-28.894,35,,G000.561-00.850,,,,,,,,,
G000.563-00.037,Q,0.564,-0.037,266.775,-28.474,23,,,,,,,,,,,
